//===================================================================================
// IndexWheel| Type  |  Index  | Level | Skill | Luck | Option | Excellent
//===================================================================================
	0        12       1     0     255       0       0         0
	1        12       2     0     255       0       0         0    
	2        12       3     0     255       0       0         0 
	3        12       4     0     255       0       0         0 
	4        12       5     0     255       0       0         0 
	5        12       6     0     255       0       0         0 
	6        12       7     0     255       0       0         0 
	7        12       8     0     255       0       0         0 
	8        12       9     0     255       0       0         0 
	9        12       10     0     255       0       0         0 
	10       12       11     0     255       0       0         0 
	11       12       12     0     255       0       0         0 
end
