//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
14	1	5	255	1	1	0	0 //Small Healing Potion
14	4	5	255	1	1	0	0 //Small Mana Potion
13	29	0	0	0	0	0	0 //Armor of Guardman
13	18	1	0	0	0	0	0 //Invisibility Cloak 1
13	18	2	0	0	0	0	0 //Invisibility Cloak 2
13	18	3	0	0	0	0	0 //Invisibility Cloak 3
13	18	4	0	0	0	0	0 //Invisibility Cloak 4
13	18	5	0	0	0	0	0 //Invisibility Cloak 5
13	18	6	0	0	0	0	0 //Invisibility Cloak 6
13	18	7	0	0	0	0	0 //Invisibility Cloak 7
13	18	8	0	0	0	0	0 //Invisibility Cloak 8
14	19	1	0	0	0	0	0 //Devil Invitation 1
14	19	2	0	0	0	0	0 //Devil Invitation 2
14	19	3	0	0	0	0	0 //Devil Invitation 3
14	19	4	0	0	0	0	0 //Devil Invitation 4
14	19	5	0	0	0	0	0 //Devil Invitation 5
14	19	6	0	0	0	0	0 //Devil Invitation 6
14	19	7	0	0	0	0	0 //Devil Invitation 7
14	23	0	0	0	0	0       0 //Scroll of Emperor
14	23	1	0	0	0	0	0 //Ring Of Honor
14	24	0	0	0	0	0	0 //Broken Sword
14	24	1	0	0	0	0	0 //Dark Stone
14	25	0	0	0	0	0	0 //Tear of Elf
14	26	0	0	0	0	0	0 //Soul Shard of Wizardű
14  68  0   0   0   0   0   0 //Abyss eyes
14	10	1	0	1	1	0	0 //Town Scroll Portal
end
