//Map	X		Y		TX		TY		MinLevel	MaxLevel	MinReset	MaxReset	AccountLevel
0		1		1		255		255		1			400			*			*			*
1		1		1		255		255		1			400			*			*			*
2		1		1		255		255		1			400			*			*			*
3		1		1		255		255		1			400			*			*			*
4		1		1		255		255		1			400			*			*			*
6		1		1		255		255		1			400			*			*			*
7		1		1		255		255		1			400			*			*			*
8		1		1		255		255		1			400			*			*			*
10		1		1		255		255		1			400			*			*			*
30		1		1		255		255		1			400			*			*			*
33		1		1		255		255		1			400			*			*			*
34		1		1		255		255		1			400			*			*			*
37		1		1		255		255		1			400			*			*			*
38		1		1		255		255		1			400			*			*			*
41		1		1		255		255		1			400			*			*			*
42		1		1		255		255		1			400			*			*			*
51		1		1		255		255		1			400			*			*			*
56		1		1		255		255		1			400			*			*			*
57		1		1		255		255		1			400			*			*			*
80		1		1		255		255		1			400			*			*			*
81		1		1		255		255		1			400			*			*			*
82		1		1		255		255		1			400			*			*			*
83		1		1		255		255		1			400			*			*			*
84		1		1		255		255		1			400			*			*			*
85		1		1		255		255		1			400			*			*			*
86		1		1		255		255		1			400			*			*			*
87		1		1		255		255		1			400			*			*			*
88		1		1		255		255		1			400			*			*			*
89		1		1		255		255		1			400			*			*			*
90		1		1		255		255		1			400			*			*			*
91		1		1		255		255		1			400			*			*			*
92		1		1		255		255		1			400			*			*			*
93		1		1		255		255		1			400			*			*			*
94		1		1		255		255		1			400			*			*			*
95		1		1		255		255		1			400			*			*			*
96		1		1		255		255		1			400			*			*			*
end
